R00001  Polyphosphate polyphosphohydrolase
R00002  Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)
R00004  diphosphate phosphohydrolase; pyrophosphate phosphohydrolase
R00005  urea-1-carboxylate amidohydrolase
R00006  pyruvate:pyruvate acetaldehydetransferase (decarboxylating); 2-acetolactate pyruvate-lyase (carboxylating)
R00008  4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)
R00009  hydrogen-peroxide:hydrogen-peroxide oxidoreductase
R00010  alpha,alpha-trehalose glucohydrolase
R00011  Mn(II):hydrogen-peroxide oxidoreductase
R00012  GTP:GTP guanylyltransferase
R00013  glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
R00014  pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
R00015  sucrose:sucrose 1'-beta-D-fructosyltransferase; sucrose:sucrose 1F-beta-D-fructosyltransferase
R00016  D-glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase
R00017  ferrocytochrome-c:hydrogen-peroxide oxidoreductase
R00018  putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)
R00019  hydrogen:ferredoxin oxidoreductase; reduced ferredoxin:H+ oxidoreductase
R00021  L-glutamate:ferredoxin oxidoreductase (transaminating)
R00022  chitobiose N-acetylglucosaminohydrolase
R00023  hydroxylamine:NAD+ oxidoreductase; NADH:hyponitrite oxidoreductase
R00024  3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)
R00025  2-nitropropane:oxygen 2-oxidoreductase
R00026  cellobiose glucohydrolase
R00027  2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)
R00028  maltose glucohydrolase
R00029  thiosulfate:ferricytochrome-c oxidoreductase
R00031  1,2-Benzenediol:oxygen oxidoreductase
R00032  beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)
R00033  thiamine:oxygen 5-oxidoreductase
R00034  Cyclobutadipyrimidine (in DNA) pyrimidine-lyase
R00036  5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)
R00038  4-hydroxy-3-hexanone propanal-lyase (propanal-forming)
R00039  raffinose:raffinose 1F-alpha-D-galactosyltransferase
R00041  long-chain-alcohol:oxygen oxidoreductase
R00042  4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)
R00043  1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)
R00044  columbamine:oxygen oxidoreductase (cyclizing)
R00045  3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase
R00047  6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)
R00048  (R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase
R00049  1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase
R00052  chloride:hydrogen-peroxide oxidoreductase
R00053  digallate acylhydrolase; tannin acylhydrolase
R00054  orsellinate-depside hydrolase
R00055  inosine:oxygen 5'-oxidoreductase
R00056  dinucleotide nucleotidohydrolase
R00057  Thiol:oxygen oxidoreductase
R00058  catechol:oxygen oxidoreductase; 1,2-benzenediol:oxygen oxidoreductase
R00059  N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase
R00060  Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)
R00061  Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)
R00062  bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase
R00063  1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase; 1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4- hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase
R00064  4-(4-Deoxy-beta-D-gluc-4-enuronosyl)-D-galacturonate lyase
R00066  6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D- ribityl)lumazine 2,3-butanediyltransferase
R00067  Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)
R00068  L-ascorbate:oxygen oxidoreductase
R00069  4-imidazolone-5-propanoate:oxygen oxidoreductase
R00070  D-urobilinogen:oxygen oxidoreductase
R00072  thiamine-aldehyde:oxygen 5-oxidoreductase
R00073  reduced acceptor:prostaglandin G2 oxidoreductase
R00074  2-aminophenol:oxygen oxidoreductase (dimerizing)
R00075  S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase
R00076  ATP:phosphorylase-b phosphotransferase; ATP:[glycogen phosphorylase] phosphotransferase
R00077  [Phosphorylase a] phosphohydrolase; [glycogen phosphorylase] phosphohydrolase
R00078  Fe(II):oxygen oxidoreductase; Fe2+:oxygen oxidoreductase
R00080  Catechol:oxygen oxidoreductase (dimerizing)
R00081  Ferrocytochrome-c:oxygen oxidoreductase
R00082  Ferrocytochrome c2:oxygen oxidoreductase
R00083  Benzenediol:oxygen oxidoreductase
R00084  porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2- yl)methyltransferase (hydrolysing); porphobilinogen ammonia-lyase (polymerizing)
R00085  ATP diphosphohydrolase (phosphate-forming)
R00086  ATP phosphohydrolase
R00087  ATP diphosphohydrolase (diphosphate-forming); ATP pyrophosphohydrolase
R00088  ATP aminohydrolase
R00089  ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)
R00090  NADH:hydrogen-peroxide oxidoreductase
R00091  CoA:NAD+ oxidoreductase
R00092  Fe2+:NAD+ oxidoreductase; NADH:Fe3+ oxidoreductase
R00093  L-glutamate:NAD+ oxidoreductase (transaminating)
R00094  glutathione:NAD+ oxidoreductase
R00095  NADH:monodehydroascorbate oxidoreductase
R00097  NADH:cob(III)alamine oxidoreductase
R00099  cob(I)alamin:NAD+ oxidoreductase; NADH:cob(II)alamin oxidoreductase
R00100  NADH:ferricytochrome-b5 oxidoreductase
R00101  NADH:ferrileghemoglobin oxidoreductase
R00102  NAD+ glycohydrolase
R00103  NAD+ phosphohydrolase
R00104  ATP:NAD+ 2'-phosphotransferase
R00105  ATP:NADH 2'-phosphotransferase
R00106  NADPH:ferricytochrome oxidoreductase
R00107  cob(II)alamin:NADP+ oxidoreductase; NADPH:aquacob(III)alamin oxidoreductase
R00108  NADPH:ferricytochrome-c2 oxidoreductase
R00109  NADPH:ferrileghemoglobin oxidoreductase
R00111  N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)
R00112  NADPH:NAD+ oxidoreductase
R00113  NADPH:hydrogen-peroxide oxidoreductase
R00114  L-Glutamate:NADP+ oxidoreductase (transaminating)
R00115  glutathione:NADP+ oxidoreductase
R00118  NADP+ 2'-phosphohydrolase
R00119  NADP+ glycohydrolase
R00120  glutathione:oxygen oxidoreductase
R00122  ADP phosphohydrolase
R00123  ADP aminohydrolase
R00124  ATP:ADP phosphatransferase
R00125  P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase
R00126  ADP:ATP adenylyltransferase
R00127  ATP:AMP phosphotransferase
R00128  Adenosine-tetraphosphate phosphohydrolase
R00129  (6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)
R00130  ATP:dephospho-CoA 3'-phosphotransferase
R00131  Urea amidohydrolase
R00132  carbonate hydro-lyase (carbon-dioxide-forming); carbonic acid hydro-lyase
R00134  formate:NADP+ oxidoreductase
R00135  Peptide + H2O <=> L-Proline + Peptide
R00137  ATP:nicotinamide-nucleotide adenylyltransferase
R00138  Triphosphate phosphohydrolase
R00139  ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase
R00140  ATP:5-hydroxymethyldeoxycytidylate phosphotransferase
R00141  ATP:ammonia phosphotransferase
R00143  ammonia:NAD+ oxidoreductase; NADH:hydroxylamine oxidoreductase
R00145  alpha-amino acid:NAD+ oxidoreductase (deaminating)
R00146  alpha-amino acid:NADP+ oxidoreductase (deaminating)
R00148  ammonia,ubiquinol:oxygen oxidoreductase; ammonia monooxygenase
R00149  Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)
R00150  ATP:carbamate phosphotransferase
R00152  NH3 + CO2 <=> Cyanide
R00153  Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)
R00155  UDP phosphohydrolase
R00156  ATP:UDP phosphotransferase
R00157  Uridine triphosphate:AMP phosphotransferase; UTP:AMP phosphotransferase
R00158  ATP:UMP phosphotransferase
R00159  UTP phosphohydrolase
R00160  FAD nucleotidohydrolase
R00161  ATP:FMN adenylyltransferase
R00162  ATP:protein phosphotransferase; ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)
R00164  Phosphoprotein phosphohydrolase
R00165  Protein <=> L-Alanyl-tRNA
R00166  Protein <=> L-Leucyl-tRNA
R00167  L-Arginyl-tRNA(Arg) <=> Protein-L-arginine
R00168  Protein <=> L-Valyl-tRNA(Val)
R00169  Protein <=> L-Glutamyl-tRNA(Glu)
R00170  Protein <=> L-Isoleucyl-tRNA(Ile)
R00171  L-Selenocysteinyl-tRNA(Sec) <=> Protein L-selenocysteine
R00172  Protein <=> Selenomethionyl-tRNA(Met)
R00173  pyridoxal-5'-phosphate phosphohydrolase
R00174  ATP:pyridoxal 5'-phosphotransferase
R00175  S-Adenosyl-L-methionine hydrolase
R00177  ATP:L-methionine S-adenosyltransferase
R00178  S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]
R00179  S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)
R00180  S-Adenosyl-L-methionine alkyltransferase (cyclizing)
R00181  AMP aminohydrolase
R00182  AMP phosphoribohydrolase
R00183  Adenosine 5'-monophosphate phosphohydrolase
R00184  P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase
R00185  ATP:adenosine 5'-phosphotransferase
R00187  P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase
R00188  Adenosine 3',5'-bisphosphate 3'-phosphohydrolase
R00189  deamido-NAD+:ammonia ligase (AMP-forming)
R00190  AMP:diphosphate phospho-D-ribosyltransferase
R00191  adenosine 3',5'-phosphate 5'-nucleotidohydrolase
R00192  S-Adenosyl-L-homocysteine hydrolase
R00193  S-Adenosyl-L-homocysteine aminohydrolase
R00194  S-Adenosyl-L-homocysteine homocysteinylribohydrolase
R00195  2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)
R00196  (S)-Lactate:ferricytochrome-c 2-oxidoreductase
R00197  (R)-Lactate:ferricytochrome-c 2-oxidoreductase
R00198  (R)-Lactate:ferricytochrome-c-553 2-oxidoreductase
R00199  ATP:pyruvate,water phosphotransferase
R00200  ATP:pyruvate 2-O-phosphotransferase
R00203  pyruvaldehyde:NAD+ oxidoreductase; 2-oxopropanal:NAD+ oxidoreductase
R00205  2-Oxopropanal:NADP+ oxidoreductase
R00206  ATP:pyruvate,phosphate phosphotransferase
R00207  Pyruvate:oxygen 2-oxidoreductase (phosphorylating)
R00208  Phosphoenolpyruvate phosphohydrolase
